product.id,model,category.primary,category.secondary,frame
48,Jekyll Carbon 2,Mountain,Over Mountain,Carbon
52,Trigger Carbon 2,Mountain,Over Mountain,Carbon
76,Beast of the East 1,Mountain,Trail,Aluminum
2,Supersix Evo Hi-Mod Team,Road,Elite Road,Carbon
50,Jekyll Carbon 4,Mountain,Over Mountain,Carbon
1,Supersix Evo Black Inc.,Road,Elite Road,Carbon
4,Supersix Evo Hi-Mod Dura Ace 2,Road,Elite Road,Carbon
34,Synapse Disc 105,Road,Endurance Road,Aluminum
26,Synapse Carbon Disc Ultegra D12,Road,Endurance Road,Carbon
96,Catalyst 3,Mountain,Sport,Aluminum
66,F-Si Black Inc.,Mountain,Cross Country Race,Carbon
35,Synapse Disc Tiagra,Road,Endurance Road,Aluminum
72,F-Si 2,Mountain,Cross Country Race,Aluminum
45,SuperX 105,Road,Cyclocross,Carbon
39,Slice Hi-Mod Dura Ace D12,Road,Triathalon,Carbon
87,Habit 5,Mountain,Trail,Aluminum
31,Synapse Carbon 105,Road,Endurance Road,Carbon
15,CAAD12 Ultegra,Road,Elite Road,Aluminum
10,Supersix Evo Tiagra,Road,Elite Road,Carbon
65,Scalpel 29 4,Mountain,Cross Country Race,Aluminum
55,Scalpel-Si Black Inc.,Mountain,Cross Country Race,Carbon
7,Supersix Evo Ultegra 3,Road,Elite Road,Carbon
67,F-Si Hi-Mod Team,Mountain,Cross Country Race,Carbon
61,Scalpel-Si 5,Mountain,Cross Country Race,Aluminum
18,CAAD8 105,Road,Elite Road,Aluminum
42,Slice 105,Road,Triathalon,Carbon
56,Scalpel-Si Race,Mountain,Cross Country Race,Carbon
93,Trail 5,Mountain,Sport,Aluminum
29,Synapse Carbon Ultegra 4,Road,Endurance Road,Carbon
13,CAAD12 Red,Road,Elite Road,Aluminum
16,CAAD12 Disc 105,Road,Elite Road,Aluminum
36,Synapse Sora,Road,Endurance Road,Aluminum
19,CAAD8 Tiagra,Road,Elite Road,Aluminum
11,CAAD12 Black Inc,Road,Elite Road,Aluminum
23,Synapse Hi-Mod Disc Red,Road,Endurance Road,Carbon
43,SuperX Hi-Mod CX1,Road,Cyclocross,Carbon
27,Synapse Carbon Disc Ultegra,Road,Endurance Road,Carbon
49,Jekyll Carbon 3,Mountain,Over Mountain,Carbon
28,Synapse Carbon Ultegra 3,Road,Endurance Road,Carbon
32,Syapse Carbon Tiagra,Road,Endurance Road,Carbon
22,Synapse Hi-Mod Disc Black Inc.,Road,Endurance Road,Carbon
63,Scalpel 29 Carbon 2,Mountain,Cross Country Race,Carbon
40,Slice Ultegra D12,Road,Triathalon,Carbon
37,Synapse Claris,Road,Endurance Road,Aluminum
8,Supersix Evo Ultegra 4,Road,Elite Road,Carbon
57,Scalpel-Si Hi-Mod 1,Mountain,Cross Country Race,Carbon
69,F-Si Carbon 2,Mountain,Cross Country Race,Carbon
3,Supersix Evo Hi-Mod Dura Ace 1,Road,Elite Road,Carbon
5,Supersix Evo Hi-Mod Utegra,Road,Elite Road,Carbon
84,Habit Carbon SE,Mountain,Trail,Carbon
90,Trail 2,Mountain,Sport,Aluminum
88,Habit 6,Mountain,Trail,Aluminum
44,SuperX Ultegra,Road,Cyclocross,Carbon
73,F-Si 3,Mountain,Cross Country Race,Aluminum
91,Trail 3,Mountain,Sport,Aluminum
95,Catalyst 2,Mountain,Sport,Aluminum
94,Catalyst 1,Mountain,Sport,Aluminum
38,Slice Hi-Mod Black Inc.,Road,Triathalon,Carbon
21,CAAD8 Claris,Road,Elite Road,Aluminum
64,Scalpel 29 Carbon 3,Mountain,Cross Country Race,Carbon
9,Supersix Evo 105,Road,Elite Road,Carbon
14,CAAD Disc Ultegra,Road,Elite Road,Aluminum
85,Habit Carbon 3,Mountain,Trail,Carbon
79,Bad Habit 1,Mountain,Trail,Aluminum
78,Beast of the East 3,Mountain,Trail,Aluminum
77,Beast of the East 2,Mountain,Trail,Aluminum
51,Trigger Carbon 1,Mountain,Over Mountain,Carbon
33,Synapse Disc Adventure,Road,Endurance Road,Aluminum
74,Fat CAAD1,Mountain,Fat Bike,Aluminum
24,Synapse Hi-Mod Dura Ace,Road,Endurance Road,Carbon
71,F-Si 1,Mountain,Cross Country Race,Aluminum
92,Trail 4,Mountain,Sport,Aluminum
30,Synapse Carbon Disc 105,Road,Endurance Road,Carbon
6,Supersix Evo Red,Road,Elite Road,Carbon
97,Catalyst 4,Mountain,Sport,Aluminum
12,CAAD12 Disc Dura Ace,Road,Elite Road,Aluminum
20,CAAD8 Sora,Road,Elite Road,Aluminum
70,F-Si Carbon 4,Mountain,Cross Country Race,Carbon
89,Trail 1,Mountain,Sport,Aluminum
80,Bad Habit 2,Mountain,Trail,Aluminum
47,Jekyll Carbon 1,Mountain,Over Mountain,Carbon
58,Scalpel-Si Carbon 2,Mountain,Cross Country Race,Carbon
25,Synapse Hi-Mod Disc Ultegra,Road,Endurance Road,Carbon
75,Fat CAAD2,Mountain,Fat Bike,Aluminum
62,Scalpel 29 Carbon Race,Mountain,Cross Country Race,Carbon
60,Scalpel-Si Carbon 4,Mountain,Cross Country Race,Carbon
54,Trigger Carbon 4,Mountain,Over Mountain,Carbon
82,Habit Carbon 1,Mountain,Trail,Carbon
53,Trigger Carbon 3,Mountain,Over Mountain,Carbon
46,SuperX Rival CX1,Road,Cyclocross,Carbon
41,Slice Ultegra,Road,Triathalon,Carbon
83,Habit Carbon 2,Mountain,Trail,Carbon
86,Habit 4,Mountain,Trail,Aluminum
81,Habit Hi-Mod Black Inc.,Mountain,Trail,Carbon
68,F-Si Hi-Mod 1,Mountain,Cross Country Race,Carbon
17,CAAD12 105,Road,Elite Road,Aluminum
59,Scalpel-Si Carbon 3,Mountain,Cross Country Race,Carbon
